Team,offensiveRating,
Boston Celtics,122.2,
Denver Nuggets,117.8,
Oklahoma City Thunder,118.3,
Minnesota Timberwolves,114.6,
LA Clippers,117.9,
Dallas Mavericks,117.0,
New York Knicks,117.3,
Milwaukee Bucks,117.6,
New Orleans Pelicans,116.5,
Phoenix Suns,116.8,
Cleveland Cavaliers,114.7,
Indiana Pacers,120.5,
Los Angeles Lakers,115.4,
Orlando Magic,112.9,
Philadelphia 76ers,116.2,
Golden State Warriors,116.9,
Miami Heat,113.3,
Sacramento Kings,116.2,
Houston Rockets,113.7,
Chicago Bulls,114.0,
Atlanta Hawks,116.4,
Brooklyn Nets,112.4,
Utah Jazz,114.5,
Memphis Grizzlies,106.8,
Toronto Raptors,111.8,
San Antonio Spurs,109.3,
Charlotte Hornets,108.6,
Portland Trail Blazers,107.6,
Washington Wizards,110.2,
Detroit Pistons,109.0,
